description,hs_code,norms,occurrence_count,total_quantity,total_cif_value,sample_licenses,current_item_names,suggested_item_name
cane sugar,17010000,E5,1,65389.880,0.00,0310732679,SUGAR,
"CITRIC ACID / TARTARIC ACID / MALIC ACID (FOOD GRADE RELEVANT) MONO HYDRIDE (BP)(TECHNICAL SPECIFICATION, QUALITY, GRADE ETC. SHOULD BE CONFORMED & THE SAME SHOULD BE REFLECTED IN EXPORT DOCUMENTS INCLUDING SHIPPING BILLS)",29000000,E1,1,4619.100,0.00,0310701906,CITRIC ACID / TARTARIC ACID - E1,
"Packing material : Paper & paper board (GSM 200+/-10%)(PP/HDPE/LDPE)(GSM OF PM TO CONFORM IN BOTH EXPORTS & IMPORTS) (IMPORT OF ARTIFICIAL SWEETENIGN AGENTS viz. Lactose/ Mannitol, as substitute inputs is not allowed against import item no.1, as per P.C.",48000000,E1,1,8159.550,0.00,0310701906,"HDPE, LDPE, PAPER BOARD, PP",
CANE SUGAR IMPORT OF LACTOSE/MANNITOL/SODIUM SACCHARIN & OTHER ARTIFICIAL SWEETENING AGENTS IS NOT ALLOWED AS SUBSTITUTE INPUTS AS PER PC 13 DATED : 31.01.2011,17019990,E1,1,97155.840,0.00,0310830088,SUGAR,
i) Leavening Agent :- Yeast Following Biscuit Additives & Ingredients From (Sr. No. 04 to 11) THE CIF Value of inputs item No. 4 to 11 together shall not exceed 10% of total CIF Value of Authorisation  i.e. Rs. 945128.17 US$. 13594.28/-,21021020,E5,1,695.800,0.00,0310830480,LEAVENING AGENT,
i) Relevant Essential Oils THE CIF VALUE OF INPUT ITEM SR. NO. 5 (i)(ii)(iii) shall not exceed  5% of the TOTAL CIF VALUE OF AUTHORISATION i.e. Rs.505014.76/- US$.785966,33011200,E1,1,0.000,0.01,0310830479,ESSENTIAL OIL,
i) Relevant Essential Oils (Orange Oil) THE CIF VALUE OF INPUT ITEM SR.NO.5 (i)(ii)(iii) SHALL NOT EXCEED 5% OF THE TOTAL CIF VALUE OF AUTHORISATION i.e. Rs.646912.02 US$. 9632.05,33011200,E1,1,1088.270,0.00,0310830463,ESSENTIAL OIL,
i) Relevant Essential Oils (Orange Oil) THE CIF VALUE OF INPUT ITEM SR.NO. 5 (i)(ii)(iii) SHALL NOT EXCEED 5% OF THE TOTAL CIF VALUE OF THE AUTHORISATION i.e. Rs.534564.17 US$.8351.40,33011200,E1,1,809.630,0.00,0310830088,ESSENTIAL OIL,
Emulsifier (Items as per PFA Act 1955) (GMS) THE CIF VALUE OF INPUT SHALL NOT EXCEED 3% OF THE TOTAL CIF VALUE OF AUTHORISATION i.e.  Rs.320738.50 US$.5010.84,29157030,E1,1,161.930,0.00,0310830088,EMULSIFIER - E1,
Emulsifier (ITEM AS PER PFA ACT 1955)(Lacithin) THE CIF VALUE OF INPUT SHALL NOT EXCEED 3% OF THE TOTAL CIF VALUE OF AUTHORISATION i.e. Rs.303008.86 US$.4715.79,29232010,E1,1,161.060,0.01,0310830479,EMULSIFIER - E1,
Emulsifier (Items as per PFA act 1955):- Lacithin. THE CIF VALUE OF INPUT SHALL NOT EXCEED 3% OF TOTAL CIF VALUE OF AUTHORISATION. i.e. Rs.388147.21 US$. 5779.23,29232010,E1,1,217.650,0.00,0310830463,EMULSIFIER - E1,
"Other confectionery ingredients - Edible molasses,  Malt extracts, Edible oils & Fats, Fruits & Fruit Products, Nut & Nut Products, Tea Extracts, Coffee extracts, Edible desiccated coconut (Edible Oil Palmolein) The CIF value should not exceed 2% of total",08023100,E1,1,8096.320,0.00,0310830088,OTHER CONFECTIONERY INGREDIENTS - E1,
Packing Material :- Paper & Paper Board (GSM 50 TO 250) (HDPE/LDPE/PP),48000000,E1,1,198960.000,0.00,0310834153,"HDPE, LDPE, PAPER BOARD, PP",
Packing Material :- Paper & Paper Board (GSM 50 TO 250) (HDPE/LDPE/PP),48000000,E5,1,53535.710,0.00,0310834152,"HDPE, LDPE, PAPER BOARD, PP",
Refined cane sugar (import of lactose/mannitol/sodium saccharin & other artificial sweetening agents is not allowed  as substitute import against this item,17019990,E5,1,22515.410,0.00,0310834824,SUGAR,
Cane Sugar Import of Lactose/Mannitol/Sodium  Saccharin & other Artificial sweetening agent is not allowed as substitute inputs,17019990,E5,1,4109.700,0.00,0310834927,SUGAR,
relevant fruit (juice/pulp/puree) orange,20090000,E1,1,201188.450,0.00,0310834746,FRUIT JUICE - E1,
Biscuit additives & ingredients :- Leavening agent (cif  value of this item should not exceed 10% of total cif value of this authorisation),21021000,E5,1,474.000,0.00,0310834824,LEAVENING AGENT,
EMULSIFIER (GMS) THE CIF VALUE SHALL NOT EXCEED 10% OF TOTAL CIF VALUE OF THE AUTHORISATION.,29157030,E5,1,21.630,0.00,0310834927,EMULSIFIER - E5,
Emulsifier (cif value of this import item should not exceed 10% of total cif value of the authosation),15200000,E5,1,118.500,0.00,0310834824,EMULSIFIER - E5,
Food Flavour (Vanillin) The CIF value shall not exceed 10% of total CIF value of authorisation,29124100,E5,1,346.080,0.00,0310834927,FOOD FLAVOUR - E5,
Relevant Flavour Improvers :- Fruits Flavours (cif value of this import item should not exceed 10% of total cif value of this authorisation),08062010,E5,1,1896.000,0.00,0310834824,"FOOD FLAVOUR - E5, JUICE - E5",
Starch (cif value of this item should not exceed 10% of the total cif value of the authorisation),35051000,E5,1,592.510,0.00,0310834824,STARCH 3505,
Anti oxident (Citric acid) The CIF value shall not exceed 10% of total CIF value of authorisation,29181400,E5,1,2.160,0.00,0310834927,ANTI OXIDANT,
Relevant food colour caramel (cif value of this item should not exceed 10% of the total cif value of this authorisation),17029040,E5,1,11.850,0.00,0310834824,FOOD COLOUR,
Coco Powder The CIF value shall not exceed 10% of total CIF value of authorisation,18050000,E5,1,194.670,0.00,0310834927,FRUIT/COCOA - E5,
"Other confectionery ingredients - edible molasses , malt extracts, edible oils & fats, fruits & fruit products",1704000,E1,1,67062.820,0.00,0310834746,OTHER CONFECTIONERY INGREDIENTS - E1,
Anti oxident Butyl Hydroxy Quinone (TBHQ)(CIF value of this item should not exceed 10% of the total cif value of the  authorisation),29070000,E5,1,11.850,0.00,0310834824,ANTI OXIDANT,
Coco Powder (CIF value of this item should not exceed 10% of the total cif value of the authorisation),18050000,E5,1,1066.520,0.00,0310834824,FRUIT/COCOA - E5,
Dietary Fibre (total cif value of this item should not exceed 10% of the cif value of the authorisation),11082000,E5,1,3555.000,0.00,0310834824,"DIETARY FIBRE, STARCH 1108",
Wheat Flour (ITC (HS) Code: 11010000),11000000,E5,1,783016.740,0.00,0310740937,WHEAT FLOUR,
sugar(17011190),17000000,E5,1,309944.120,0.00,0310740937,SUGAR,
Vegetable shortening-RBD palmolein oil (15119020),04050000,E5,1,293631.270,0.00,0310740937,"RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Biscuits additives & ingredients :- Leavening agent/Dough conditioner - Yeast (21021020),21020000,E5,1,6525.140,0.00,0310740937,LEAVENING AGENT,
EMULSIFIER / STABILISING AGENT SOYA LECITHIN (29232010),04040000,E5,1,1631.280,0.00,0310740937,"EMULSIFIER - E5, SWP",
Relevant (Food flavour / Flavouring agent / Flavour improvers)- Chocolate(18060000)Nut & nut products (08023100),33000000,E5,1,26100.550,0.00,0310740937,FOOD FLAVOUR - E5,
STARCH / WHEAT STARCH (11081100),11000000,E5,1,8156.420,0.00,0310740937,"STARCH 1108, STARCH 3505",
RELEVANT FOOD COLOUR TARTRAZINE (32041982),32000000,E5,1,163.130,0.00,0310740937,FOOD COLOUR,
Relevant (Food Flavour / Flavouring Agent / Flavour improvers )- Mix Fruit (08000000 / 08023100),18000000,E5,1,14681.560,0.00,0310740937,FOOD FLAVOUR - E5,
Dietary Fibre (08020000),29000000,E5,1,48938.540,0.00,0310740937,DIETARY FIBRE,
Packing Material as per packing policy :- LDPE/HDPE/PP(39000000)/Paper & Paper Board (48100000),,E5,1,0.000,0.00,0310740937,"HDPE, LDPE, PAPER BOARD, PP",
refined cane sugar,11010000,E1,1,85067.280,0.00,0310835310,SUGAR,
Refined Cane Sugar (Lactose/fructose/maltose/mannitol/sodium saccharin/artificial sweetening agents are not allowed under input item sr.no.1.,17019990,E5,1,26652.000,0.00,0310835559,SUGAR,
liquid glucose,17109990,E1,1,28355.760,0.00,0310835310,LIQUID GLUCOSE,
LIQUID GLUCOSE SUBJECT TO ACTUAL USER CONDITION,17023010,E5,1,8884.000,0.00,0310835559,LIQUID GLUCOSE,
CANE SUGAR CONDITION IMPORT OF LACTOSE/MANNITOL/SODIUM SACCHARIN & OTHER ARTIFICIAL SWEETENING AGENTS IS NOT ALLOWED AS SUBSTITUTE INPUTS AGAINST THIS IMPORT ITEMS.,17011490,E5,1,25845.550,1.00,0310835340,SUGAR,
Fats ( Vegetable Fats - RBD Palmolein ),15119020,E5,1,24485.250,1.00,0310835340,RBD PALMOLEIN OIL,
i) Relevant Essential Oils (Peppermint Mentha Oil)THE CIF VALUE OF INPUT ITEM SHALL NOT EXCEED 5% OF TOTAL CIF VALUE OF AUTHORISATION i.e. Rs.108072.16/- US$.1551.96/-,33012590,E5,1,222.100,0.00,0310835559,ESSENTIAL OIL,
relevant fruit (juice/pulp/puree) orange,15119020,E1,1,21266.820,0.00,0310835310,"FRUIT JUICE - E1, RBD PALMOLEIN OIL",
BISCUIT ADDITIVES & INGREDIENTS :- LEAVENING AGENT CONDITION : CIF VALUE OF INPUT ITEM SR.NO. 4 TO 9 TOGETHER SHALL NOT EXCEED 10% OF TOTAL CIF VALUE OF THE AUTHORISATION.,21021020,E5,1,554.120,10116.00,0310835340,LEAVENING AGENT,
Relevant Food Grade :-Tartaric Acid,21021000,E1,1,4253.360,0.00,0310835310,CITRIC ACID / TARTARIC ACID - E1,
LEAVENING AGENT (AMMONIUM BI CARBONATE),21021000,E5,1,2948.310,0.00,0310835517,LEAVENING AGENT,
Leavening Agents:- Yeast custom should verify & allow input which are actually used in the export product. Following Biscuit Additives & Ingredients From (Sr.No 04 to 11) For Import Item No.4 to 11 the CIF VALUE should not exceed 10% of total CIF value of,21021020,E5,1,133.850,0.00,0310835514,LEAVENING AGENT,
Emulsifier (items as per PFA Act 1955)(Lacithin) The CIF Value of input item shall not exceed 3% of total cif value of authorisation. i.e. Rs.64843.30/- US$./-931.18/-,29232010,E5,1,44.420,0.00,0310835559,EMULSIFIER - E5,
"Other confectionery ingredients - edible molasses, malt extracts, edible oils & fats, fruits & fruit products, nut & nut products, tea extracts, coffee extracts, edible desiccated coconut :- Edible Oil. The CIF Value of input item shall not exceed 2 % of",08023100,E5,1,2221.000,0.00,0310835559,,
relevant essential oils orange,15200000,E1,1,708.890,0.00,0310835310,ESSENTIAL OIL,
relevant food colour caramel,08022200,E1,1,14.180,0.00,0310835310,FOOD COLOUR,
Food Flavour (Vanillin),29120000,E5,1,11793.260,0.00,0310835517,FOOD FLAVOUR - E5,
Relevant Food Grade Flavours,35051000,E1,1,141.780,0.00,0310835310,"FOOD FLAVOUR - E1, STARCH 3505",
milk & milk products,04020000,E5,1,51595.500,0.00,0310835517,,
EMULSIFIER - STARCHES,17029040,E1,1,141.780,0.00,0310835310,"EMULSIFIER - E1, STARCH 3505",
"Other confectionery ingredients - edible molasses , malt extracts, edible oils & fats, fruits & fruit products",29070000,E1,1,7088.940,0.00,0310835310,OTHER CONFECTIONERY INGREDIENTS - E1,
FRUIT / COCOA POWDER,08020000,E5,1,1.000,0.00,0310835517,FRUIT/COCOA - E5,
"Packing material : Polypropylene Film Grade , Paper & Paper Board , Aluminum Foil",18050000,E1,1,12253.880,0.00,0310835310,"FRUIT/COCOA - E1, PAPER BOARD, PP",
Paper & Paper Board (GSM 150 TO 350)(HDPE/LDPE/PP),48010000,E5,1,34847.930,0.00,0310835517,"HDPE, LDPE, PAPER BOARD",
PAPER BOARD (GSM 230+/-10),48100000,E5,1,5734.940,1.00,0310835340,PAPER BOARD,
HDPE,39010000,E5,1,14337.340,1.00,0310835340,HDPE,
LDPE,39010000,E5,1,14337.340,1.00,0310835340,LDPE,
POLYPROPYLENE,30920000,E5,1,14337.340,1.00,0310835340,PP,
HOT ROLLED NON-ALLOY/ALLOY STEEL STRIPS/WIDE STEEL COILS/SHEETS/PLATES 600MM OR MORE OF VARIOUS GRADES-THICKNESS OF 3MM OR MORE OF HR O GRADE AS PER IS : 1079 / (HOT ROLLED COILS 72083990 IS1079),72080000,C473,1,3262.270,0.00,0310836031,HOT ROLLED STEEL,
"HOT ROLLED NON-ALLOY WIDE STEEL STRIPS/COILS WIDTH OF 600MM OR MORE OF VARIOUS GRADES - THICKNESS OF 0MM TO 2.99MM GRADE - PHT270MC, PHT270ML, IS11513-CR1",72083940,C473,1,0.000,0.00,0310836031,"HOT ROLLED STEEL, PALM KERNEL OIL",
"HOT ROLLED NON-ALLOY STEEL STRIPS/COILS WIDTH OF 600MM OR MORE OF VARIOUS GRADES - THICKNESS OF 4.75MM TO 10MM GRADE - PHT270MC, PHT270ML, JS-SPHC, IS11513-CR1",72083740,C473,1,0.000,0.00,0310836031,"HOT ROLLED STEEL, PALM KERNEL OIL",
"HOT ROLLED NON-ALLOY WIDE STEEL STRIPS/COILS 600MM OR MORE OF VARIOUS GRADES - THICKNESS OF 3MM TO 4.74MM GRADE - PHT270MC, PHT270ML, JS-SPHC, IS11513-CR1",72083840,C473,1,0.000,0.00,0310836031,"HOT ROLLED STEEL, PALM KERNEL OIL",
leavening agent,21020000,E5,1,35523.160,0.00,0310836589,LEAVENING AGENT,
FOOD FLAVOUR,08023100,E5,1,142092.660,0.00,0310836589,FOOD FLAVOUR - E5,
Paper & Paper Board (GSM 150 TO 350)(HDPE/LDPE/PP)(48010000),39020000,E5,1,621396.270,0.00,0310836589,"HDPE, LDPE, PAPER BOARD",
Cane Sugar (Lactose/Fructose/Maltose/Mannitol/Sodium Saccharin/Artificial sweetening agents are not allowed against this import item),17011190,E1,1,60240.960,0.00,0310837231,SUGAR,
BEARING (ALL TYPES OTHER THAN ENGINE BEARING) SUCH AS BALL BEARING / TAPER / CYLINDRICAL / NEEDLE ROLLER BEARINGS.BALL BEARING -6600 NOS.TAPPER ROLLER BEARING - 600 NOS.NEEDLE ROLLER BEARINGS 2100 NOS.dia 10mm - 175mm (HS - 8482),84821020,C969,1,9300.000,0.00,3010105277,BEARING,
Bearing (All types other than Engine Bearing) such as Ball Bearing / Taper / Cylindrical / Needle Roller Bearings Ball Bearing 3344 NOS. Tapper Roller Bearing 4560 Nos. Needle Roller Bearing 4560 Nos. Cylinder Roller  Bearing 1520 Nos. DIA 10 MM- 175 MM,84820000,C969,1,13984.000,0.00,3010105324,BEARING,
Bearing (All types other than Engine Bearing) such as Ball Bearing/Taper/Cylindrical/Needle Roller Bearings Ball Bearing 975 NOS. Tapper Roller Bearing 1300 Needle Roller Bearing 195 Cylinder Roller Bearing 195 dia 10mm-175mm (HS-8482),84821020,C969,1,2665.000,0.00,3010105274,BEARING,
Bearing (All types other than Engine  Bearing)such as Ball Bearing/Taper/Cylindrical/Needle Roller Bearings-Ball Bearing 3340Nos(ii)Tapper Roller Bearing 4560Nos.Needle Roller Bearing 4560Nos.Cylinder Roller Bearing 1520 Nos. DIA 10MM-175MM (HS CODE-8482),84821020,C969,1,13984.000,0.00,3010105276,BEARING,
Bearing (All types other than Engine Bearing) such as Ball Bearing / Taper / Cylindrical / Needle Roller Bearings Ball Bearing 3344 NOS. Tapper Roller Bearing 4560 Nos.Needle Roller Bearing 1520 Nos.Cylinder Roller Bearing 4560 Nos.dia 10MM-175MM(HS-8482),84821020,C969,1,13984.000,0.00,3010105275,BEARING,
Bearing(All types other than Engine Bearing)such as Ball Bearing/Taper/Cylindrical/Needle Roller Bearings Ball Bearing 3344 NOS.(ii)Tapper Roller Bearing 4560 Nos.(iii)Needle Roller Bearing 4560 Nos.Cylinder Roller Bearing 1520 Nos.dia 100mm-175,84821020,C969,1,13984.000,0.00,3010105305,BEARING,
Bearing (all types other than engine bearing) such as ball bearing / taper / cylindrical / needle roller bearings ball bearing 3432 nos. Tapper roller bearing 4680 nos. Needle roller bearing 4680 nos.  Cylinder roller bearing 1560 nos. DIA 10mm - 175mm,84820000,C969,1,14352.000,0.00,3010105325,BEARING,
Relevant Essential Oils :- Orange (As value of this item shall not exceed 5%  Of Total  CIF VALUE OF THE LICENCE),33021010,E1,1,907.310,0.00,0310837230,ESSENTIAL OIL,
Relevant Food Colours :-  Caramel (As Cif value of this item shall not exceed 5%  Of Total  CIF VALUE OF THE LICENCE),17029040,E1,1,18.500,0.00,0310837230,FOOD COLOUR,
Relevant Food Grade Flavours(As Cif value of this item shall not exceed 5% of Total CIF VALUE OF THE LICENCE),08061000,E1,1,181.460,0.00,0310837230,FOOD FLAVOUR - E1,
Emulsifier :- Starches (Cif value of this item shall not exceed 5%  Of Total  CIF VALUE OF THIS LICENCE),11081100,E1,1,100.400,0.00,0310837231,"EMULSIFIER - E1, STARCH 1108, STARCH 3505",
Fruit & Fruit Products :- Fruit Flavours(Cif value of this item should not exceed 2% of the total cif value of the licence),08020000,E1,1,9073.060,0.00,0310837230,FOOD FLAVOUR - E1,
Fruit & Fruit Products :- Fruit Flavours(value of this item should not exceed 2% of the total cif value of the licence),08023100,E1,1,5020.080,0.00,0310837231,FOOD FLAVOUR - E1,
Packing material :- PP film grade (cif value of this item should not exceed 2% of total cif value of this licence),39020000,E1,1,5902.410,0.00,0310837231,PP,
Packing Material :- Polypropylene PP film grade,39020000,E1,1,12658.850,0.00,0310837230,PP,
(DELETED),40117000,C969,1,0.000,0.00,3010105276,,
(DELETED),40119900,C969,1,1.000,0.00,3010105276,,
(DELETED),40139049,C969,1,1.000,0.00,3010105276,,
(DELETED),40139041,C969,1,1.000,0.00,3010105276,,
Wheat Flour (ITC (HS) Code: 11010000),11010000,E1,1,0.000,0.00,0310837960,WHEAT FLOUR,
cane sugar,17024000,E5,1,41058.650,0.00,0310837902,SUGAR,
cane sugar fructose syrup,17024000,E1,1,0.000,0.00,0310837960,SUGAR,
Refined cane sugar The Import of Lactose/Mannitol/Sodium Saccharin & Other Artificial Sweetening agents is not allowed as substitute inputs against this import item,17019990,E5,1,20192.460,0.00,0310837998,SUGAR,
LIQUID GLUCOSE  (AU CONDITION),17022010,E1,1,10570.800,0.00,0310837555,LIQUID GLUCOSE,
Fats RBD Palmolein Oil,15119020,E1,1,0.000,0.00,0310837960,RBD PALMOLEIN OIL,
Relevant Fruit (Juice / Pulp / Puree )Orange(AU CONDITION),20090000,E1,1,7928.100,0.00,0310837555,FRUIT JUICE - E1,
Relevant fruit :- ORANGE JUICE (Imports with AU condition),20090000,E1,1,22922.750,0.00,0310837898,FRUIT JUICE - E1,
BEARING (ALL TYPES OTHER THAN ENGINE BEARING) SUCH AS BALL BEARING / TAPER / CYLINDRICAL / NEEDLE ROLLER BEARINGS (i) BALL BEARING -6600 NOS. (ii) TAPER ROLLER BEARING - 600 NOS. (iii) NEEDLE ROLLER BEARINGS 2100 NOS. dia 10mm - 175mm (HS - 8482) net to n,84821020,C969,1,9300.000,0.00,3010105354,BEARING,
Biscuit Additives and ingredients:-Leavening Agent,21021000,E1,1,0.000,0.00,0310837960,LEAVENING AGENT,
Relevant Food Grade :- Tartaric acid  (AU CONDITION),29181200,E1,1,1585.620,0.00,0310837555,CITRIC ACID / TARTARIC ACID - E1,
ii) Emulsifier :- GMS The CIF Value of Import Item No. 4 to 8 shall not exceed 10% of total cif value of Authorisation. i.e. Rs.513238.10/- & US$. 7353.77/-,29157030,E5,1,106.270,0.00,0310837998,EMULSIFIER - E5,
emulsifier,15200000,E1,1,0.000,0.00,0310837960,EMULSIFIER - E1,
Relevant Essential Oils :- Orange (Cif value of this item shall not exceed 5%  Of Total  CIF VALUE OF THIS LICENCE),33021010,E1,1,764.090,0.00,0310837898,ESSENTIAL OIL,
RELEVANT FLAVOUR IMPROVERS - FRUIT FLAVOUR,08062010,E1,1,0.000,0.00,0310837960,,
Relevant Food Colours :-  Caramel (Cif value of this item shall not exceed 5%  Of Total  CIF VALUE OF THIS LICENCE),17029040,E1,1,15.280,0.00,0310837898,FOOD COLOUR,
Relevant Food Grade Flavours (Cif value of this item shall not exceed 5% of Total CIF VALUE OF THIS LICENCE),08022200,E1,1,152.820,0.00,0310837898,FOOD FLAVOUR - E1,
starch,35051000,E1,1,0.000,0.00,0310837960,STARCH 3505,
Relevant Food Grade Flavours (NOT EXCEED 2% OF TOTAL CIF VALUE),08022200,E1,1,52.850,0.00,0310837555,FOOD FLAVOUR - E1,
Emulsifier  :- Starches (Items as per PFA ACT 1955),11081100,E1,1,52.850,0.00,0310837555,"EMULSIFIER - E1, STARCH 1108, STARCH 3505",
"Other Confectionery ingredients -- edible molasses, malt extracts, edible oils & fats, fruits & fruit products (FRUIT FLAVOURS CIF VALUE OF THIS ITEM SHOULD NOT EXCEED 2% OF TOTAL CIF VALUE OF THIS  LICENCE)",08022200,E1,1,7640.920,0.00,0310837898,"FOOD FLAVOUR - E1, OTHER CONFECTIONERY INGREDIENTS - E1",
Anti oxidant Butyl Hydroxy Quinone (TBHQ),29070000,E1,1,0.000,0.00,0310837960,ANTI OXIDANT,
coco powder,18050000,E1,1,0.000,0.00,0310837960,FRUIT/COCOA - E1,
PACKING MATERIAL :- POLYPROPYLENE FILM GRADE,39020000,E1,1,9810.000,0.00,0310837898,PP,
"Packing Material : - PP , Paper & Paper Board , Aluminium Foil(as per packing policy)",39020000,E1,1,10117.880,0.00,0310837955,"ALUMINIUM FOIL, PAPER BOARD, PP",
dietary fibre,11082000,E1,1,0.000,0.00,0310837960,"DIETARY FIBRE, STARCH 1108",
Refined cane sugar Lactose / Mannitol / Sodium Saccharin & other artificial sweetening agent is not allowed,17019990,E5,1,46369.750,0.00,0310838342,SUGAR,
"ii) Emulsifier :- GMS The CIF Value of Sr.No. 4 to 8 shall not exceed 10% Of total CIF Value of authorization i.e., Rs. 150985/- US$. 2129.222",29157030,E5,1,33.520,0.00,0310838342,EMULSIFIER - E5,
ii) Emulsifier :- GMS The CIF Value of input item Sr. No. 4 to 8 shall not exceed 10% of total cif value of authorisation i.e. Rs.113964.03/- US$. 1617.37/-,29157030,E5,1,21.130,0.00,0310838340,EMULSIFIER - E5,
Other confectionery ingredient :- Nut & Nut Products,08023100,E1,1,21140.970,0.00,0310838475,OTHER CONFECTIONERY INGREDIENTS - E1,
Packing Material Polypropylene,39210000,E5,1,3461.330,0.00,0310838101,PP,
"Chickpeas (07132090), Lentiles (07134000), Green Peas (07131020)Import to be allowed subject to the Import Policy)",07132090,E132,1,172185.000,0.00,1310049708,CEREALS FLAKES,
refined cane sugar,17109990,E5,1,88741.860,0.00,0310838864,SUGAR,
"Natural Relevant Flavour like Chilli (07096090), Black Pepper (09041190), Flavour Cloves (09071090), Flavour Asafoetida (13019013), Flavour Citric acid (29181400), Ginger (09101190), Tartaric acid (29181200), Cinnamon (09061110), Fennel (09092190),Nutmeg",07096090,E132,1,17218.000,0.00,1310049708,,
"ii) Emulsifier :- GMS The CIF VALUE OF IMPORT ITEM NO.4 TO 8 shall not exceed 10% of total CIF VALUE OF Authorization. i.e, Rs. 178704.12/- US$. 2539.06/-",29157030,E5,1,38.230,0.00,0310838698,EMULSIFIER - E5,
Leavening agent :- Yeast The CIF Value of input item sr.no $ to 11 toghether shall not exceed 10% of total CIF Value of Authorisation. i.e. Rs.963353.99/- US$. 13682.85/-,21021020,E5,1,796.880,0.00,0310839189,LEAVENING AGENT,
"Packing Material :- PP/HDPE/LDPE/Paper (48081390),(39021000),76071190 & Paper Board (HSN Code 48080000) Aluminium Foil (HSN code  76070000)",48081390,E132,1,14328.000,0.00,1310049708,"ALUMINIUM FOIL, HDPE, LDPE, PAPER BOARD, PP",
viii) Dietary Fibre (Wheat Bran),08023100,E5,1,5976.640,0.00,0310839189,DIETARY FIBRE,
Relevant Fats & oils namely sesame oil/ Mustard Oil/ Gingelly oil/Salad oil/Ground-nut oil/RBD Palmoline oil/Sunflower oil,15119020,E126,1,23963.500,0.00,0310839564,RBD PALMOLEIN OIL,
bearing (all types other than engine bearing) such as ball bearing/ taper/ cylindrical/ needle roller bearings,84820000,C969,1,9300.000,0.00,3010105522,BEARING,
(1) BALL BEARING -1496 NOS. (2)TAPER ROLLER BEARING 2040 NOS. (3) CYLINDRICAL BEARING -680 NOS. (4) NEEDLE ROLLER BEARING - 2040 NOS. Dia 100mm -175mm (HS-8482)NET TO NET BASIS .,84820000,C969,1,6256.000,0.00,3010105501,BEARING,
"ALLOY STEEL RODS / ROUNDS /BILLETS OF CARBON CONTENT LESS THAN 2% HS CODE - 7228,7229,7214 & 7226)",72280000,C969,1,121561.600,0.00,3010105501,ALLOY STEEL,
relevant alloy steel rods/ rounds/ billets,72280000,C969,1,175944.700,0.00,3010105522,ALLOY STEEL,
CANE SUGAR IMPORT OF LACTOSE/MANNITOL/SODIUM SACCHARIN & OTHER ARTIFICIAL SWEETENING AGENTS IS NOT ALLOWED AS SUBSTITUTE INPUTS AS PER PC 13 DATED : 31.01.2011,17011100,E5,1,37865.000,0.00,0310702495,SUGAR,
LEAVENING AGENT /  DOUGH CONDITIONER,29000000,E5,1,1034.150,0.00,0310736635,LEAVENING AGENT,
i) Biscuit additives & ingredients : Leavening agent/Dough conditioner,29000000,E5,1,1038.140,0.00,0310740546,LEAVENING AGENT,
ii) Emulsifier (GMS) THE CIF VALUE OF IMPORT ITEM NO. 4 TO 8 SHALL NOT EXCEED 10% OF TOTAL CIF VALUE OF AUTHORISATION. i.e. RS. 904395.73  & US$ 14177.20,29157030,E5,1,186.780,14177.20,0310828188,EMULSIFIER - E5,
emulsifier/ stabilizer/ glazing agent/ binders/ thickners,38249090,E5,1,723.430,1.00,0310681621,EMULSIFIER - E5,
emulsifier/ stabilizer/ glazing agent/ binders/ thickners,29054400,E5,1,125.120,0.00,0310763644,EMULSIFIER - E5,
relevant (food flour / flavouring agent/ flavour imp-rovers),09083110,E5,1,11574.940,33000.00,0310681621,"FOOD FLAVOUR - E5, WHEAT FLOUR",
relevant food flavour vanillin,08023100,E5,1,4479.140,0.00,0310729706,FOOD FLAVOUR - E5,
iii) Relevant (Food Flavour / Flavouring Agent / Flavur Improvers),13000000,E5,1,4159.000,0.00,0310740546,FOOD FLAVOUR - E5,
v) RELEVANT FOOD COLOUR (SUNSET YELLOW),29124100,E5,1,18.680,0.00,0310828188,FOOD COLOUR,
iv) STARCH,35051000,E5,1,1298.000,0.00,0310740546,STARCH 3505,
relevant food colour sunset yellow,21000000,E5,1,28.000,0.00,0310729706,FOOD COLOUR,
anti oxidant (citric acid),29072990,E5,1,12.510,0.00,0310763644,ANTI OXIDANT,
anti oxidant (citric acid),29000000,E5,1,28.000,0.00,0310729706,ANTI OXIDANT,
(VI)ANTI OXIDENT,38123090,E5,1,25.950,0.00,0310740546,ANTI OXIDANT,
coco powder,08023100,E5,1,2519.510,0.00,0310729706,FRUIT/COCOA - E5,
fruit/cocoa,18050000,E5,1,2050.280,0.00,0310736838,FRUIT/COCOA - E5,
FRUIT / COCOA POWDER,18050000,E5,1,2326.840,0.00,0310736635,FRUIT/COCOA - E5,
(VIII) DIETARY FIBRE,23040090,E5,1,7786.030,0.00,0310740546,DIETARY FIBRE,
xi) Milk & Milk products,19019090,E5,1,18167.390,0.00,0310740546,,
PACKING MATERIAL :- PAPER & PAPPER BOARD (GSM 150 TO 350)(LDPE/HDPE/PP)AS PER PACKING POLICY .(GSM TO CONFIRMED IN BOTH EXPORT & IMPORT),48000000,E5,1,16028.000,0.00,0310702495,"HDPE, LDPE, PAPER BOARD, PP",
